년(Annual),LEVEL1,LEVEL2,값,증감,증감율,구성비,누계,누계구성비
2017,계,소계,2196475,2196475,2196475,0,0,0
2017,계,50cc미만,157657,157657,157657,0,0,0
2017,계,50cc이상,868990,868990,868990,0,0,0
2017,계,100cc초과,1084148,1084148,1084148,0,0,0
2017,계,260cc초과,85680,85680,85680,0,0,0
2017,관용,소계,26846,26846,26846,0,0,0
2017,관용,50cc미만,1549,1549,1549,0,0,0
2017,관용,50cc이상,5408,5408,5408,0,0,0
2017,관용,100cc초과,19258,19258,19258,0,0,0
2017,관용,260cc초과,631,631,631,0,0,0
2017,자가용,소계,2169629,2169629,2169629,0,0,0
2017,자가용,50cc미만,156108,156108,156108,0,0,0
2017,자가용,50cc이상,863582,863582,863582,0,0,0
2017,자가용,100cc초과,1064890,1064890,1064890,0,0,0
2017,자가용,260cc초과,85049,85049,85049,0,0,0
2018,계,소계,2208424,2208424,2208424,0,0,0
2018,계,50cc미만,145872,145872,145872,0,0,0
2018,계,50cc이상,866702,866702,866702,0,0,0
2018,계,100cc초과,1097381,1097381,1097381,0,0,0
2018,계,260cc초과,98469,98469,98469,0,0,0
2018,관용,소계,26914,26914,26914,0,0,0
2018,관용,50cc미만,1596,1596,1596,0,0,0
2018,관용,50cc이상,5349,5349,5349,0,0,0
2018,관용,100cc초과,19322,19322,19322,0,0,0
2018,관용,260cc초과,647,647,647,0,0,0
2018,자가용,소계,2181510,2181510,2181510,0,0,0
2018,자가용,50cc미만,144276,144276,144276,0,0,0
2018,자가용,50cc이상,861353,861353,861353,0,0,0
2018,자가용,100cc초과,1078059,1078059,1078059,0,0,0
2018,자가용,260cc초과,97822,97822,97822,0,0,0
2019,계,소계,2236895,2236895,2236895,0,0,0
2019,계,50cc미만,142993,142993,142993,0,0,0
2019,계,50cc이상,862922,862922,862922,0,0,0
2019,계,100cc초과,1117862,1117862,1117862,0,0,0
2019,계,260cc초과,113118,113118,113118,0,0,0
2019,관용,소계,27083,27083,27083,0,0,0
2019,관용,50cc미만,1813,1813,1813,0,0,0
2019,관용,50cc이상,5309,5309,5309,0,0,0
2019,관용,100cc초과,19263,19263,19263,0,0,0
2019,관용,260cc초과,698,698,698,0,0,0
2019,자가용,소계,2209812,2209812,2209812,0,0,0
2019,자가용,50cc미만,141180,141180,141180,0,0,0
2019,자가용,50cc이상,857613,857613,857613,0,0,0
2019,자가용,100cc초과,1098599,1098599,1098599,0,0,0
2019,자가용,260cc초과,112420,112420,112420,0,0,0
2020,계,소계,2289009,2289009,2289009,0,0,0
2020,계,50cc미만,140280,140280,140280,0,0,0
2020,계,50cc이상,862641,862641,862641,0,0,0
2020,계,100cc초과,1153804,1153804,1153804,0,0,0
2020,계,260cc초과,132284,132284,132284,0,0,0
2020,관용,소계,26810,26810,26810,0,0,0
2020,관용,50cc미만,1941,1941,1941,0,0,0
2020,관용,50cc이상,5342,5342,5342,0,0,0
2020,관용,100cc초과,18799,18799,18799,0,0,0
2020,관용,260cc초과,728,728,728,0,0,0
2020,자가용,소계,2262199,2262199,2262199,0,0,0
2020,자가용,50cc미만,138339,138339,138339,0,0,0
2020,자가용,50cc이상,857299,857299,857299,0,0,0
2020,자가용,100cc초과,1135005,1135005,1135005,0,0,0
2020,자가용,260cc초과,131556,131556,131556,0,0,0
2021,계,소계,2213837,2213837,2213837,0,0,0
2021,계,50cc미만,130705,130705,130705,0,0,0
2021,계,50cc이상,778364,778364,778364,0,0,0
2021,계,100cc초과,1152185,1152185,1152185,0,0,0
2021,계,260cc초과,152583,152583,152583,0,0,0
2021,관용,소계,25195,25195,25195,0,0,0
2021,관용,50cc미만,1758,1758,1758,0,0,0
2021,관용,50cc이상,4175,4175,4175,0,0,0
2021,관용,100cc초과,18518,18518,18518,0,0,0
2021,관용,260cc초과,744,744,744,0,0,0
2021,자가용,소계,2188642,2188642,2188642,0,0,0
2021,자가용,50cc미만,128947,128947,128947,0,0,0
2021,자가용,50cc이상,774189,774189,774189,0,0,0
2021,자가용,100cc초과,1133667,1133667,1133667,0,0,0
2021,자가용,260cc초과,151839,151839,151839,0,0,0
